"MovieID","ratings_per_movie","ave_ratings","Title","Genres","Year"
1361,159,4.21383647798742,"Paradise Lost: The Child Murders at Robin Hood Hills (1996)","Documentary",1996
246,716,4.18854748603352,"Hoop Dreams (1994)","Documentary",1994
1288,1118,4.17978533094812,"This Is Spinal Tap (1984)","Comedy|Drama|Musical",1984
1283,403,4.17866004962779,"High Noon (1952)","Western",1952
1066,175,4.16571428571429,"Shall We Dance? (1937)","Comedy|Musical|Romance",1937
1214,2024,4.15958498023715,"Alien (1979)","Action|Horror|Sci-Fi|Thriller",1979
914,636,4.15408805031447,"My Fair Lady (1964)","Musical|Romance",1964
1240,2098,4.15204957102002,"Terminator, The (1984)","Action|Sci-Fi|Thriller",1984
3000,345,4.14782608695652,"Princess Mononoke, The (Mononoke Hime) (1997)","Action|Adventure|Animation",1997
945,251,4.14741035856574,"Top Hat (1935)","Comedy|Musical|Romance",1935
1,2077,4.14684641309581,"Toy Story (1995)","Animation|Children's|Comedy",1995
2300,658,4.14437689969605,"Producers, The (1968)","Comedy|Musical",1968
1253,559,4.14132379248658,"Day the Earth Stood Still, The (1951)","Drama|Sci-Fi",1951
1201,822,4.1338199513382,"Good, The Bad and The Ugly, The (1966)","Action|Western",1966
1200,1820,4.12582417582418,"Aliens (1986)","Action|Sci-Fi|Thriller|War",1986
1258,1087,4.1048758049678,"Shining, The (1980)","Horror",1980
1199,913,4.09748083242059,"Brazil (1985)","Sci-Fi",1985
1266,997,4.09027081243731,"Unforgiven (1992)","Western",1992
1387,1697,4.08956982911019,"Jaws (1975)","Action|Horror",1975
741,314,4.08917197452229,"Ghost in the Shell (Kokaku kidotai) (1995)","Animation|Sci-Fi",1995
599,264,4.08712121212121,"Wild Bunch, The (1969)","Western",1969
3365,245,4.08571428571429,"Searchers, The (1956)","Western",1956
2064,798,4.07393483709273,"Roger & Me (1989)","Comedy|Documentary",1989
162,491,4.06313645621181,"Crumb (1994)","Documentary",1994
1947,761,4.05781865965834,"West Side Story (1961)","Musical|Romance",1961
2677,230,4.05652173913044,"Buena Vista Social Club (1999)","Documentary",1999
581,141,4.04964539007092,"Celluloid Closet, The (1995)","Documentary",1995
2761,674,4.04747774480712,"Iron Giant, The (1999)","Animation|Children's",1999
3671,1119,4.047363717605,"Blazing Saddles (1974)","Comedy|Western",1974
3037,591,4.04399323181049,"Little Big Man (1970)","Comedy|Drama|Western",1970
3508,365,4.04383561643836,"Outlaw Josey Wales, The (1976)","Western",1976
1348,238,3.99159663865546,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)","Horror",1922
1023,221,3.98642533936652,"Winnie the Pooh and the Blustery Day (1968)","Animation|Children's",1968
2648,406,3.97536945812808,"Frankenstein (1931)","Horror",1931
1097,2269,3.96518289995593,"E.T. the Extra-Terrestrial (1982)","Children's|Drama|Fantasy|Sci-Fi",1982
1997,885,3.95593220338983,"Exorcist, The (1973)","Horror",1973
2565,372,3.95430107526882,"King and I, The (1956)","Musical",1956
3606,169,3.94082840236686,"On the Town (1949)","Musical",1949
2664,628,3.9124203821656,"Invasion of the Body Snatchers (1956)","Horror|Sci-Fi",1956
1340,216,3.91203703703704,"Bride of Frankenstein (1935)","Horror",1935
1282,943,3.90455991516437,"Fantasia (1940)","Animation|Children's|Musical",1940
1028,1011,3.89416419386746,"Mary Poppins (1964)","Children's|Comedy|Musical",1964
34,1751,3.89149057681325,"Babe (1995)","Children's|Comedy|Drama",1995
595,1060,3.88584905660377,"Beauty and the Beast (1991)","Animation|Children's|Musical",1991
247,477,3.86582809224319,"Heavenly Creatures (1994)","Drama|Fantasy|Romance|Thriller",1994
1073,1313,3.86138613861386,"Willy Wonka and the Chocolate Factory (1971)","Adventure|Children's|Comedy|Fantasy",1971
2797,1491,3.85580147551979,"Big (1988)","Comedy|Fantasy",1988
2138,305,3.84262295081967,"Watership Down (1978)","Animation|Children's|Drama|Fantasy",1978
2872,742,3.81266846361186,"Excalibur (1981)","Action|Drama|Fantasy|Romance",1981
1019,575,3.70260869565217,"20,000 Leagues Under the Sea (1954)","Adventure|Children's|Fantasy|Sci-Fi",1954
2968,1010,3.69405940594059,"Time Bandits (1981)","Adventure|Fantasy|Sci-Fi",1981
3479,542,3.67343173431734,"Ladyhawke (1985)","Adventure|Fantasy|Romance",1985
